t-backend  | 2026-01-15T20:29:53: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:29:58: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:30:03: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:30:08: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:30:13: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:30:18: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:30:23: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:30:28: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:30:33: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:30:38: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:30:43: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:30:48: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:30:53: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:30:58: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:31:03: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:31:08: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:31:13: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:31:18: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:31:23: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:31:28: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:31:33: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:31:38: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:31:43: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:31:48: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:31:53: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:31:58: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:32:03: MQTT Update: Master status -> off
0|iot-backend  | 2026-01-15T20:32:08: MQTT Update: Master status -> off
